"t(s)","ang_vel(rad/s)"
1.570000000E1,-1.065264432E-2
1.580000000E1,2.424808163E-1
1.590000000E1,3.836283536E-1
1.600000000E1,4.486094839E-1
1.610000000E1,3.223756487E-1
1.620000000E1,1.446096466E-1
1.630000000E1,-1.050617046E-1
1.640000000E1,-2.897519255E-1
1.650000000E1,-2.998719376E-1
1.660000000E1,-1.723065219E-1
1.670000000E1,2.703108496E-2
1.680000000E1,2.484729288E-1
1.690000000E1,3.800330861E-1
1.700000000E1,4.147873382E-1
1.710000000E1,3.095924756E-1
1.720000000E1,9.068063477E-2
1.730000000E1,-7.430219413E-2
1.740000000E1,-2.793655973E-1
1.750000000E1,-2.890861352E-1
1.760000000E1,-1.741707346E-1
1.770000000E1,1.890844367E-2
1.780000000E1,2.387523908E-1
1.790000000E1,3.825630891E-1
1.800000000E1,3.861583566E-1
1.810000000E1,3.183809071E-1
1.820000000E1,1.106543429E-1
1.830000000E1,-9.720537942E-2
1.840000000E1,-2.379534425E-1
1.850000000E1,-2.873550805E-1
1.860000000E1,-1.379517439E-1
1.870000000E1,1.318264735E-2
1.880000000E1,2.142513089E-1
1.890000000E1,3.623230649E-1
1.900000000E1,3.788346636E-1
1.910000000E1,2.868224483E-1
1.920000000E1,1.075917076E-1
1.930000000E1,-9.960222439E-2
1.940000000E1,-2.286323787E-1
1.950000000E1,-2.351571234E-1
1.960000000E1,-1.834917984E-1
1.970000000E1,2.490055610E-2
1.980000000E1,2.008023454E-1
1.990000000E1,3.332946092E-1
2.000000000E1,3.621899069E-1
2.010000000E1,2.834934970E-1
2.020000000E1,1.211738291E-1
2.030000000E1,-8.761799953E-2
2.040000000E1,-1.880191722E-1
2.050000000E1,-2.324939623E-1
2.060000000E1,-1.636512484E-1
2.070000000E1,3.848267761E-2
2.080000000E1,1.833586404E-1
2.090000000E1,3.129214269E-1
2.100000000E1,3.330282931E-1
2.110000000E1,2.640524211E-1
2.120000000E1,1.318264735E-1
2.130000000E1,-3.542004236E-2
2.140000000E1,-1.747033668E-1
2.150000000E1,-1.996039229E-1
2.160000000E1,-1.460743852E-1
2.170000000E1,1.597896648E-3
2.180000000E1,1.885518045E-1
2.190000000E1,2.918824544E-1
2.200000000E1,3.354251380E-1
2.210000000E1,2.591255731E-1
2.220000000E1,1.304948929E-1
2.230000000E1,-2.103897253E-2
2.240000000E1,-1.651159870E-1
2.250000000E1,-1.649828289E-1
2.260000000E1,-1.555286071E-1
2.270000000E1,2.663161080E-4
2.280000000E1,1.573928198E-1
2.290000000E1,2.556634637E-1
2.300000000E1,3.257046001E-1
2.310000000E1,2.530003026E-1
2.320000000E1,1.446096466E-1
2.330000000E1,-9.321063780E-4
2.340000000E1,-1.532649202E-1
2.350000000E1,-1.609880873E-1
2.360000000E1,-1.121190815E-1
2.370000000E1,-2.263686918E-3
2.380000000E1,1.292964704E-1
2.390000000E1,2.408829197E-1
2.400000000E1,2.966761443E-1
2.410000000E1,2.540655670E-1
2.420000000E1,1.308943671E-1
2.430000000E1,9.187905726E-3
2.440000000E1,-1.218396194E-1
2.450000000E1,-1.535312363E-1
2.460000000E1,-8.721852537E-2
2.470000000E1,-2.929477188E-3
2.480000000E1,1.219727775E-1
2.490000000E1,2.299639593E-1
2.500000000E1,2.620550503E-1
2.510000000E1,2.648513694E-1
2.520000000E1,1.490038624E-1
2.530000000E1,2.769687523E-2
2.540000000E1,-8.761799953E-2
2.550000000E1,-1.491370205E-1
2.560000000E1,-8.575378678E-2
2.570000000E1,-2.876213966E-2
2.580000000E1,1.122522395E-1
2.590000000E1,1.913481236E-1
2.600000000E1,2.343581750E-1
2.610000000E1,2.444781871E-1
2.620000000E1,1.411475372E-1
2.630000000E1,8.309062570E-2
2.640000000E1,-6.098638873E-2
2.650000000E1,-1.263669932E-1
2.660000000E1,-1.074585496E-1
2.670000000E1,-1.917475978E-2
2.680000000E1,9.547432472E-2
2.690000000E1,1.736381024E-1
2.700000000E1,2.355565975E-1
2.710000000E1,2.424808163E-1
2.720000000E1,1.391501664E-1
2.730000000E1,6.178533706E-2
2.740000000E1,-3.848267761E-2
2.750000000E1,-1.037301241E-1
2.760000000E1,-6.964166224E-2
2.770000000E1,-3.302319739E-2
2.780000000E1,6.418218203E-2
2.790000000E1,1.688444125E-1
2.800000000E1,2.179797344E-1
2.810000000E1,2.266350079E-1
2.820000000E1,1.620533517E-1
2.830000000E1,8.242483543E-2
2.840000000E1,-2.290318529E-2
2.850000000E1,-8.681905121E-2
2.860000000E1,-9.520800861E-2
2.870000000E1,-3.462109404E-2
2.880000000E1,4.420847393E-2
2.890000000E1,1.514007074E-1
2.900000000E1,1.757686313E-1
2.910000000E1,2.197107891E-1
2.920000000E1,1.647165128E-1
2.930000000E1,9.507485056E-2
2.940000000E1,-1.198422486E-2
2.950000000E1,-6.418218203E-2
2.960000000E1,-8.242483543E-2
2.970000000E1,-2.530003026E-2
2.980000000E1,2.410160777E-2
2.990000000E1,1.238369902E-1
3.000000000E1,1.680454641E-1
3.010000000E1,1.969407619E-1
3.020000000E1,1.789644246E-1
3.030000000E1,1.103880268E-1
3.040000000E1,2.450108194E-2
3.050000000E1,-3.129214269E-2
3.060000000E1,-6.298375954E-2
3.070000000E1,-1.145159264E-2
3.080000000E1,1.571265037E-2
3.090000000E1,9.693906331E-2
3.100000000E1,1.490038624E-1
3.110000000E1,1.968076038E-1
3.120000000E1,1.676459900E-1
3.130000000E1,9.614011499E-2
3.140000000E1,5.432848603E-2
3.150000000E1,-2.157160475E-2
3.160000000E1,-6.138586289E-2
3.170000000E1,-2.649845275E-2
3.180000000E1,-7.190534916E-3
3.190000000E1,8.362325791E-2
3.200000000E1,1.348891087E-1
3.210000000E1,1.814944276E-1
3.220000000E1,1.603222970E-1
3.230000000E1,9.680590526E-2
3.240000000E1,7.869640991E-2
3.250000000E1,-2.290318529E-2
3.260000000E1,-4.141215479E-2
3.270000000E1,-2.423476583E-2
3.280000000E1,-6.791060754E-3
3.290000000E1,6.777744949E-2
3.300000000E1,1.139832942E-1
3.310000000E1,1.604554551E-1
3.320000000E1,1.653823031E-1
3.330000000E1,1.412806953E-1
3.340000000E1,6.657902700E-2
3.350000000E1,3.036003631E-2
3.360000000E1,-8.388957402E-3
3.370000000E1,-4.487426420E-2
3.380000000E1,-2.583266248E-2
3.390000000E1,4.221110312E-2
3.400000000E1,9.960222439E-2
3.410000000E1,1.617870356E-1
3.420000000E1,1.395496406E-1
3.430000000E1,1.378185859E-1
3.440000000E1,1.012001210E-1
3.450000000E1,1.105211848E-2
3.460000000E1,-1.731054702E-3
