"t(s)","ang_vel(rad/s)"
0.000000000E0,-2.942792993E-2
1.000000000E-1,-1.105211848E-2
2.000000000E-1,-4.527373836E-2
3.000000000E-1,-4.687163501E-2
4.000000000E-1,-3.901530982E-2
5.000000000E-1,-7.590009078E-2
6.000000000E-1,-7.217166527E-2
7.000000000E-1,-9.214537337E-2
8.000000000E-1,-6.910903003E-2
9.000000000E-1,-1.571265037E-2
1.000000000E0,-5.339637965E-2
1.100000000E0,-5.512743436E-2
1.200000000E0,-2.250371113E-2
1.300000000E0,-1.065264432E-2
1.400000000E0,-3.661846485E-2
1.500000000E0,-6.298375954E-2
1.600000000E0,-1.438106983E-1
1.700000000E0,-8.255799348E-2
1.800000000E0,-5.126585079E-2
1.900000000E0,-4.940163803E-2
2.000000000E0,-5.206479911E-2
2.100000000E0,-3.475425209E-2
2.200000000E0,3.994741620E-3
2.300000000E0,-1.291633124E-2
2.400000000E0,-7.776430354E-2
2.500000000E0,-7.976167435E-2
2.600000000E0,-1.241033063E-1
2.700000000E0,-8.748484148E-2
2.800000000E0,-2.122539381E-1
2.900000000E0,-1.451422789E-1
3.000000000E0,2.077265642E-1
3.100000000E0,1.685780964E-1
3.200000000E0,-6.657902700E-3
3.300000000E0,-3.741741317E-2
3.400000000E0,-3.715109707E-2
3.500000000E0,1.339570023E-1
3.600000000E0,2.287655368E-1
3.700000000E0,2.074602481E-1
3.800000000E0,1.900165431E-1
3.900000000E0,2.053297193E-1
4.000000000E0,2.071939320E-1
4.100000000E0,2.089249867E-1
4.200000000E0,2.107891995E-1
4.300000000E0,2.350239653E-1
4.400000000E0,2.410160777E-1
4.500000000E0,2.452771355E-1
4.600000000E0,2.652508436E-1
4.700000000E0,2.676476885E-1
4.800000000E0,2.901513997E-1
4.900000000E0,3.029345729E-1
5.000000000E0,3.078614208E-1
5.100000000E0,3.045324695E-1
5.200000000E0,2.969424604E-1
5.300000000E0,3.226419648E-1
5.400000000E0,3.065298403E-1
5.500000000E0,2.973419346E-1
5.600000000E0,2.909503480E-1
5.700000000E0,2.888198191E-1
5.800000000E0,2.728408526E-1
5.900000000E0,2.740392751E-1
6.000000000E0,2.484729288E-1
6.100000000E0,2.346244911E-1
6.200000000E0,2.559297798E-1
6.300000000E0,2.318281720E-1
6.400000000E0,2.089249867E-1
6.500000000E0,2.332929106E-1
6.600000000E0,2.065281418E-1
6.700000000E0,2.412823938E-1
6.800000000E0,2.367550200E-1
6.900000000E0,2.306297495E-1
7.000000000E0,2.350239653E-1
7.100000000E0,2.564624120E-1
7.200000000E0,2.623213664E-1
7.300000000E0,2.543318831E-1
7.400000000E0,2.657834758E-1
7.500000000E0,2.703108496E-1
7.600000000E0,2.829608648E-1
7.700000000E0,2.825613906E-1
7.800000000E0,2.789661231E-1
7.900000000E0,2.909503480E-1
8.000000000E0,2.901513997E-1
8.100000000E0,2.906840319E-1
