"","run","ang_vel_mean","ang_vel_err","nut_freq","prec_period","prec_period_err","length","spin_period","calc_period","calc_period_err"
"1","L1-1",0.0658317519513433,0.119465679189103,1,95.4430821136818,173.20171939279,0.189,0.16,60.1010037928845,6.0187195734964
"2","L1-2",0.257116940148259,0.00807790777457071,0,24.437072499216,0.767745671737305,0.189,0.5,19.232321213723,1.55323504470882
"3","L1-3",0.240132994725871,0.0514489987972564,0,26.1654393406133,5.60600036951053,0.189,0.42,22.8956204925274,1.87259672416522
"4","L2-1",0.498262201073134,0.126880832566293,0,12.610198593526,3.21114564365284,0.325,0.45,12.4270383227133,0.974797834399083
"5","L2-2",0.237216767095522,0.0199003854994927,0,26.4871045335909,2.22203344829991,0.325,0.18,31.0675958067834,2.90539177044562
"6","L2-3",0.508313977958209,0.125492549644251,0,12.3608351917015,3.05164286484864,0.325,0.38,14.7162295926869,1.17285595577795
