"t(s)","ang_vel(rad/s)"
0.000000000E0,6.484797230E-2
1.000000000E-1,1.182443520E-1
2.000000000E-1,1.376854278E-1
3.000000000E-1,1.355548990E-1
4.000000000E-1,1.098553946E-1
5.000000000E-1,8.881642202E-2
6.000000000E-1,5.712480517E-2
7.000000000E-1,3.475425209E-2
8.000000000E-1,4.713795112E-2
9.000000000E-1,9.321063780E-2
1.000000000E0,1.483380722E-1
1.100000000E0,9.414274418E-2
1.200000000E0,3.195793296E-2
1.300000000E0,1.034638080E-1
1.400000000E0,1.739044185E-1
1.500000000E0,1.419464856E-1
1.600000000E0,8.335694180E-2
1.700000000E0,2.103897253E-2
1.800000000E0,-2.556634637E-2
1.900000000E0,-3.888215177E-2
2.000000000E0,-1.491370205E-2
2.100000000E0,-3.861583566E-3
2.200000000E0,-2.609897858E-2
2.300000000E0,-3.968110009E-2
2.400000000E0,-1.178448778E-1
2.500000000E0,-1.657817772E-1
2.600000000E0,-1.647165128E-1
2.700000000E0,-9.520800861E-2
2.800000000E0,-3.741741317E-2
2.900000000E0,7.057376862E-3
3.000000000E0,9.427590223E-2
3.100000000E0,1.544633426E-1
3.200000000E0,1.576591359E-1
3.300000000E0,1.420796436E-1
3.400000000E0,1.181111939E-1
3.500000000E0,2.916161383E-2
3.600000000E0,-5.832322765E-2
3.700000000E0,-9.627327304E-2
3.800000000E0,-1.539307104E-1
3.900000000E0,-2.119876220E-1
4.000000000E0,-1.966744458E-1
4.100000000E0,-1.719070477E-1
4.200000000E0,-1.651159870E-1
4.300000000E0,-1.175785617E-1
4.400000000E0,-1.763012635E-1
4.500000000E0,-1.067927593E-1
4.600000000E0,-4.966795414E-2
4.700000000E0,7.989483240E-4
4.800000000E0,-3.808320344E-2
4.900000000E0,-9.614011499E-2
5.000000000E0,-6.644586895E-2
5.100000000E0,2.037318226E-2
5.200000000E0,1.731054702E-2
5.300000000E0,-1.147822425E-1
5.400000000E0,-2.806971778E-1
5.500000000E0,-2.930808769E-1
5.600000000E0,-2.143844669E-1
5.700000000E0,-2.154497314E-1
5.800000000E0,-2.785666490E-1
5.900000000E0,-2.359560717E-1
6.000000000E0,-1.731054702E-1
6.100000000E0,-2.261023757E-1
6.200000000E0,-3.862915147E-1
6.300000000E0,-4.222441892E-1
6.400000000E0,-4.558000188E-1
6.500000000E0,-2.294313270E-1
6.600000000E0,-8.588694483E-2
6.700000000E0,-5.992112430E-2
6.800000000E0,-2.328934364E-1
6.900000000E0,-1.651159870E-1
7.000000000E0,7.403587802E-2
7.100000000E0,1.394164825E-1
7.200000000E0,9.893643412E-2
7.300000000E0,2.265018499E-1
7.400000000E0,3.079945789E-1
7.500000000E0,2.049302451E-1
7.600000000E0,1.632517742E-1
7.700000000E0,1.575259779E-1
7.800000000E0,5.925533403E-2
7.900000000E0,-5.632585684E-2
8.000000000E0,1.025317016E-2
8.100000000E0,-5.432848603E-2
8.200000000E0,-1.616538776E-1
8.300000000E0,-2.657834758E-1
8.400000000E0,-4.242415600E-1
8.500000000E0,-4.225105053E-1
8.600000000E0,-4.259726147E-1
8.700000000E0,-3.010703601E-1
8.800000000E0,-1.684449383E-1
8.900000000E0,-9.161274115E-2
9.000000000E0,-6.657902700E-3
9.100000000E0,-5.779059544E-2
9.200000000E0,-1.780323182E-1
9.300000000E0,-3.000050957E-1
9.400000000E0,-3.833620375E-1
9.500000000E0,-4.314320950E-1
9.600000000E0,-3.793672958E-1
9.700000000E0,-3.225088068E-1
9.800000000E0,-2.051965612E-1
9.900000000E0,-8.482168040E-2
1.000000000E1,-5.712480517E-2
1.010000000E1,-4.274373533E-2
1.020000000E1,-1.563275554E-1
1.030000000E1,-2.657834758E-1
1.040000000E1,-3.470098887E-1
1.050000000E1,-4.045341681E-1
1.060000000E1,-3.763046606E-1
1.070000000E1,-2.695119013E-1
1.080000000E1,-2.073270901E-1
1.090000000E1,-1.101217107E-1
1.100000000E1,-6.311691760E-2
1.110000000E1,-9.600695693E-2
1.120000000E1,-1.555286071E-1
1.130000000E1,-2.631203147E-1
1.140000000E1,-3.370230347E-1
1.150000000E1,-3.643204357E-1
1.160000000E1,-3.488741015E-1
1.170000000E1,-3.210440682E-1
1.180000000E1,-1.857554853E-1
1.190000000E1,-9.574064083E-2
1.200000000E1,-6.804376559E-2
1.210000000E1,-1.008006469E-1
1.220000000E1,-1.965412877E-1
1.230000000E1,-2.585929409E-1
1.240000000E1,-3.359577702E-1
1.250000000E1,-3.544667397E-1
1.260000000E1,-3.563309525E-1
