"t(s)","ang_vel(rad/s)"
0.000000000E0,7.430219413E-2
1.000000000E-1,-1.864212756E-2
2.000000000E-1,-2.223739502E-2
3.000000000E-1,-3.195793296E-2
4.000000000E-1,-4.287689339E-2
5.000000000E-1,-1.406149050E-1
6.000000000E-1,-4.993427025E-2
7.000000000E-1,-3.994741620E-3
8.000000000E-1,-2.796319134E-3
9.000000000E-1,-1.957423394E-2
1.000000000E0,-5.499427630E-2
1.100000000E0,-1.632517742E-1
1.200000000E0,3.621899069E-2
1.300000000E0,7.896272602E-2
1.400000000E0,1.451422789E-2
1.500000000E0,-1.688444125E-1
1.600000000E0,-2.657834758E-1
1.700000000E0,-1.748365249E-1
1.800000000E0,3.994741620E-3
1.900000000E0,-5.992112430E-3
2.000000000E0,-3.635214874E-2
2.100000000E0,-4.154531285E-2
2.200000000E0,8.921589618E-3
2.300000000E0,7.936220018E-2
2.400000000E0,8.948221229E-2
2.500000000E0,2.796319134E-3
2.600000000E0,-9.880327607E-2
2.700000000E0,-8.162588710E-2
2.800000000E0,1.624528259E-2
2.900000000E0,5.299690549E-2
3.000000000E0,-8.522115456E-3
3.100000000E0,-1.864212756E-2
3.200000000E0,-1.784317924E-2
3.300000000E0,-1.997370810E-3
3.400000000E0,1.065264432E-2
3.500000000E0,-2.223739502E-2
3.600000000E0,-3.075951047E-2
3.700000000E0,-4.407531587E-2
3.800000000E0,-8.042746462E-2
3.900000000E0,-8.016114851E-2
4.000000000E0,-6.138586289E-2
4.100000000E0,-6.045375652E-2
4.200000000E0,-6.471481424E-2
4.300000000E0,-6.338323370E-2
4.400000000E0,-2.077265642E-2
4.500000000E0,1.331580540E-4
4.600000000E0,7.057376862E-3
4.700000000E0,2.796319134E-2
4.800000000E0,6.564692062E-2
4.900000000E0,1.158475070E-1
5.000000000E0,1.667138836E-1
5.100000000E0,2.306297495E-1
5.200000000E0,2.900182416E-1
5.300000000E0,3.278351289E-1
5.400000000E0,3.916178368E-1
5.500000000E0,4.426173715E-1
5.600000000E0,4.625910796E-1
5.700000000E0,4.588626541E-1
5.800000000E0,4.656537148E-1
5.900000000E0,4.334294658E-1
6.000000000E0,4.014715328E-1
6.100000000E0,3.568635847E-1
6.200000000E0,2.910835060E-1
6.300000000E0,2.280997465E-1
6.400000000E0,1.651159870E-1
6.500000000E0,1.213069872E-1
6.600000000E0,1.001348566E-1
6.700000000E0,3.661846485E-2
6.800000000E0,1.478054399E-2
6.900000000E0,1.291633124E-2
7.000000000E0,2.183792086E-2
7.100000000E0,3.834951955E-2
7.200000000E0,7.816377770E-2
7.300000000E0,1.133175040E-1
7.400000000E0,1.580586101E-1
7.500000000E0,2.189118408E-1
7.600000000E0,2.636529469E-1
7.700000000E0,3.261040742E-1
7.800000000E0,3.886883596E-1
7.900000000E0,4.042678519E-1
8.000000000E0,4.384894718E-1
8.100000000E0,4.490089581E-1
8.200000000E0,4.499410645E-1
8.300000000E0,4.271710372E-1
8.400000000E0,3.920173110E-1
8.500000000E0,3.456783082E-1
8.600000000E0,2.918824544E-1
8.700000000E0,2.426139744E-1
8.800000000E0,1.946770749E-1
8.900000000E0,1.480717560E-1
9.000000000E0,1.014664371E-1
9.100000000E0,7.177219111E-2
9.200000000E0,3.954794204E-2
9.300000000E0,3.155845880E-2
9.400000000E0,3.302319739E-2
9.500000000E0,5.552690852E-2
9.600000000E0,6.378270787E-2
9.700000000E0,1.259675191E-1
9.800000000E0,1.571265037E-1
9.900000000E0,2.062618256E-1
1.000000000E1,2.635197889E-1
1.010000000E1,3.009372020E-1
1.020000000E1,3.557983203E-1
1.030000000E1,4.034689036E-1
1.040000000E1,4.209126087E-1
1.050000000E1,4.388889460E-1
1.060000000E1,4.492752742E-1
1.070000000E1,4.086620677E-1
1.080000000E1,3.771036089E-1
1.090000000E1,3.451456760E-1
