"t(s)","ang_vel(rad/s)"
1.550000000E1,-8.575378678E-1
1.560000000E1,-8.169246613E-1
1.570000000E1,-7.791077740E-1
1.580000000E1,-6.655239539E-1
1.590000000E1,-5.962817658E-1
1.600000000E1,-5.107942951E-1
1.610000000E1,-3.860251985E-1
1.620000000E1,-3.306314481E-1
1.630000000E1,-2.629871566E-1
1.640000000E1,-2.167813119E-1
1.650000000E1,-2.002697132E-1
1.660000000E1,-1.873533820E-1
1.670000000E1,-1.889512786E-1
1.680000000E1,-2.201102633E-1
1.690000000E1,-2.949450896E-1
1.700000000E1,-3.591272716E-1
1.710000000E1,-4.380899977E-1
1.720000000E1,-5.073321857E-1
1.730000000E1,-5.997438752E-1
1.740000000E1,-6.970824127E-1
1.750000000E1,-7.621967011E-1
1.760000000E1,-8.382299499E-1
1.770000000E1,-8.262457251E-1
1.780000000E1,-8.271778314E-1
1.790000000E1,-8.020109592E-1
1.800000000E1,-6.853645039E-1
1.810000000E1,-6.693855375E-1
1.820000000E1,-6.021407202E-1
1.830000000E1,-4.632568699E-1
1.840000000E1,-4.171841832E-1
1.850000000E1,-3.315635545E-1
1.860000000E1,-2.804308617E-1
1.870000000E1,-2.403502875E-1
1.880000000E1,-2.061286676E-1
1.890000000E1,-2.153165733E-1
1.900000000E1,-2.211755277E-1
1.910000000E1,-2.783003329E-1
1.920000000E1,-3.133209011E-1
1.930000000E1,-3.499393659E-1
1.940000000E1,-4.291684080E-1
1.950000000E1,-5.054679730E-1
1.960000000E1,-6.086654648E-1
1.970000000E1,-6.985471513E-1
1.980000000E1,-7.514108987E-1
1.990000000E1,-7.933556857E-1
2.000000000E1,-7.998804304E-1
2.010000000E1,-7.759119807E-1
2.020000000E1,-7.430219413E-1
2.030000000E1,-7.014766285E-1
2.040000000E1,-6.277070666E-1
2.050000000E1,-5.724464741E-1
2.060000000E1,-4.745753045E-1
2.070000000E1,-4.010720586E-1
2.080000000E1,-3.443467276E-1
2.090000000E1,-2.865561322E-1
2.100000000E1,-2.696450594E-1
2.110000000E1,-2.466087160E-1
2.120000000E1,-2.420813422E-1
2.130000000E1,-2.681803208E-1
2.140000000E1,-2.994724634E-1
