"t(s)","ang_vel(rad/s)"
0.000000000E0,-3.874899371E-2
1.000000000E-1,-4.514058031E-2
2.000000000E-1,-8.149272905E-2
3.000000000E-1,-8.535431261E-2
4.000000000E-1,-7.270429748E-2
5.000000000E-1,-3.515372626E-2
6.000000000E-1,1.358212151E-2
7.000000000E-1,1.030643338E-1
8.000000000E-1,1.928128622E-1
9.000000000E-1,3.094593175E-1
1.000000000E0,4.326305174E-1
1.100000000E0,5.601959332E-1
1.200000000E0,7.177219111E-1
1.300000000E0,8.408931110E-1
1.400000000E0,9.969543503E-1
1.500000000E0,1.094559204E0
1.600000000E0,1.138767678E0
1.700000000E0,1.113467648E0
1.800000000E0,1.051948627E0
1.900000000E0,9.486179767E-1
2.000000000E0,8.290420442E-1
2.100000000E0,7.266435007E-1
2.200000000E0,5.454153892E-1
2.300000000E0,4.137220738E-1
2.400000000E0,2.930808769E-1
2.500000000E0,1.985386585E-1
2.600000000E0,1.065264432E-1
2.700000000E0,3.435477793E-2
2.800000000E0,-8.255799348E-3
2.900000000E0,-2.556634637E-2
3.000000000E0,-3.648530680E-2
3.100000000E0,-1.118527654E-2
3.200000000E0,3.302319739E-2
3.300000000E0,1.031974918E-1
3.400000000E0,1.865544337E-1
3.500000000E0,2.753708557E-1
3.600000000E0,3.861583566E-1
3.700000000E0,5.024053377E-1
3.800000000E0,6.632602670E-1
3.900000000E0,7.872304152E-1
4.000000000E0,9.074721380E-1
4.100000000E0,9.890980251E-1
4.200000000E0,1.055277578E0
4.300000000E0,1.047154937E0
4.400000000E0,1.046755462E0
4.500000000E0,9.614011499E-1
4.600000000E0,8.472846976E-1
4.700000000E0,7.251787621E-1
4.800000000E0,5.889580728E-1
4.900000000E0,4.699147726E-1
5.000000000E0,3.499393659E-1
5.100000000E0,2.403502875E-1
5.200000000E0,1.644501967E-1
5.300000000E0,1.012001210E-1
5.400000000E0,4.780374139E-2
5.500000000E0,1.238369902E-2
5.600000000E0,6.657902700E-3
5.700000000E0,1.904160172E-2
5.800000000E0,5.020058636E-2
5.900000000E0,1.065264432E-1
6.000000000E0,1.697765188E-1
6.100000000E0,2.679140046E-1
6.200000000E0,3.749730801E-1
6.300000000E0,4.997421767E-1
6.400000000E0,6.271744343E-1
6.500000000E0,7.472829990E-1
6.600000000E0,8.057393848E-1
6.700000000E0,9.495500831E-1
6.800000000E0,1.024651226E0
6.900000000E0,1.079778660E0
7.000000000E0,1.015995952E0
7.100000000E0,9.467537639E-1
7.200000000E0,8.756473631E-1
7.300000000E0,7.443535219E-1
7.400000000E0,6.155896836E-1
7.500000000E0,5.066663955E-1
7.600000000E0,4.021373231E-1
7.700000000E0,3.097256336E-1
7.800000000E0,2.027997162E-1
7.900000000E0,1.537975524E-1
8.000000000E0,8.628641899E-2
8.100000000E0,5.592638268E-2
8.200000000E0,4.846953166E-2
8.300000000E0,5.153216690E-2
8.400000000E0,8.175904516E-2
8.500000000E0,1.141164523E-1
8.600000000E0,1.853560112E-1
8.700000000E0,2.652508436E-1
8.800000000E0,3.548662139E-1
8.900000000E0,4.571315994E-1
9.000000000E0,5.745770030E-1
9.100000000E0,6.768423885E-1
9.200000000E0,7.744472421E-1
9.300000000E0,8.809736853E-1
9.400000000E0,9.554090374E-1
9.500000000E0,9.807090677E-1
9.600000000E0,9.570069341E-1
9.700000000E0,9.198558370E-1
9.800000000E0,8.458199590E-1
9.900000000E0,8.034756978E-1
1.000000000E1,6.499444616E-1
1.010000000E1,5.442169667E-1
1.020000000E1,4.423510554E-1
1.030000000E1,3.516704206E-1
1.040000000E1,2.580603087E-1
1.050000000E1,1.893507528E-1
1.060000000E1,1.307612090E-1
1.070000000E1,9.214537337E-2
1.080000000E1,8.482168040E-2
1.090000000E1,8.375641597E-2
1.100000000E1,1.082574979E-1
1.110000000E1,1.438106983E-1
1.120000000E1,2.093244609E-1
1.130000000E1,2.777677006E-1
1.140000000E1,3.539341075E-1
1.150000000E1,4.346278883E-1
1.160000000E1,5.396895929E-1
1.170000000E1,6.558034160E-1
1.180000000E1,7.671235491E-1
1.190000000E1,8.153267646E-1
1.200000000E1,9.092031927E-1
1.210000000E1,9.254484753E-1
1.220000000E1,9.455553415E-1
1.230000000E1,9.237174206E-1
1.240000000E1,8.470183815E-1
1.250000000E1,7.360977225E-1
1.260000000E1,6.720486985E-1
1.270000000E1,5.809685896E-1
1.280000000E1,4.853611068E-1
1.290000000E1,3.832288794E-1
1.300000000E1,3.005377279E-1
1.310000000E1,2.390187069E-1
1.320000000E1,1.757686313E-1
1.330000000E1,1.581917682E-1
1.340000000E1,1.315601574E-1
1.350000000E1,1.115864493E-1
1.360000000E1,1.408812211E-1
1.370000000E1,1.771002118E-1
1.380000000E1,2.211755277E-1
1.390000000E1,2.761698040E-1
1.400000000E1,3.510046303E-1
1.410000000E1,4.206462926E-1
1.420000000E1,5.372927479E-1
1.430000000E1,6.171875803E-1
1.440000000E1,7.131945372E-1
1.450000000E1,7.729825035E-1
1.460000000E1,8.559399711E-1
1.470000000E1,9.149289890E-1
1.480000000E1,9.271795300E-1
1.490000000E1,8.832373722E-1
1.500000000E1,8.056062267E-1
1.510000000E1,7.554056403E-1
1.520000000E1,6.643255314E-1
1.530000000E1,5.918875500E-1
1.540000000E1,4.844290005E-1
1.550000000E1,3.989415298E-1
1.560000000E1,3.275688128E-1
1.570000000E1,2.612561019E-1
1.580000000E1,2.177134183E-1
1.590000000E1,1.870870659E-1
1.600000000E1,1.571265037E-1
1.610000000E1,1.484712302E-1
1.620000000E1,1.635180903E-1
1.630000000E1,2.039981387E-1
1.640000000E1,2.331597526E-1
1.650000000E1,2.896187674E-1
1.660000000E1,3.538009495E-1
1.670000000E1,4.348942044E-1
1.680000000E1,5.077316599E-1
1.690000000E1,6.106628356E-1
1.700000000E1,6.692523794E-1
1.710000000E1,7.591340659E-1
1.720000000E1,8.157262388E-1
1.730000000E1,8.046741203E-1
1.740000000E1,8.243815123E-1
1.750000000E1,8.503473328E-1
1.760000000E1,8.141283422E-1
1.770000000E1,7.273092909E-1
1.780000000E1,6.536728871E-1
1.790000000E1,5.771070060E-1
1.800000000E1,5.022721797E-1
1.810000000E1,4.207794506E-1
1.820000000E1,3.619235908E-1
1.830000000E1,3.034672051E-1
1.840000000E1,2.599245214E-1
1.850000000E1,2.078597223E-1
1.860000000E1,2.009355035E-1
1.870000000E1,1.864212756E-1
1.880000000E1,2.018676099E-1
1.890000000E1,2.267681660E-1
1.900000000E1,2.548645154E-1
1.910000000E1,3.135872172E-1
1.920000000E1,3.697799160E-1
1.930000000E1,4.424842134E-1
1.940000000E1,5.183843042E-1
1.950000000E1,5.885585987E-1
